order_id,customer_id,customer_name,email,age,city,state,product_category,product_name,quantity,unit_price,discount_pct,order_date,payment_method,order_status,total_amount
71839,2154,Olivia Williams,olivia.williams2154@example.com,18,Chicago,IL,Books,Analytics Guide,1,472.14,0,2025-06-12,Apple Pay,Completed,472.14
19106,9680,Harper Williams,harper.williams9680@example.com,19,Boston,MA,Clothing,Jeans,5,317.71,5,2024-02-10,Bank Transfer,Completed,1509.12
71073,11956,John Taylor,invalid-email,23,Seattle,WA,Sports,Running Shoes,4,1125.13,0,2024-10-14,PayPal,Shipped,4500.52
62564,14243,Emma Taylor,emma.taylor14243@example.com,31,Miami,FL,Books,Data Engineering 101,4,1014.54,0,2026-03-27,Bank Transfer,Processing,4058.16
69521,3509,Emma Garcia,emma.garcia3509@example.com,24,Dallas,TX,Books,SQL Handbook,1,231.86,15,2025-09-16,Apple Pay,Completed,197.08
19556,7031,John Lee,john.lee7031@example.com,69,Houston,TX,Home,Blender,2,1109.11,0,2024-09-17,Debit Card,Completed,2218.22
2612,5189,James Miller,james.miller5189@example.com,22,New York,NY,Sports,Tennis Racket,5,194.3,15,2025-04-22,Debit Card,Cancelled,825.77
27037,17938,Sophia Taylor,sophia.taylor17938@example.com,66,Denver,CO,Clothing,Jeans,2,135.69,15,2025-06-16,Bank Transfer,Cancelled,230.67
45854,9792,William Anderson,william.anderson9792@example.com,32,Atlanta,GA,Clothing,Jeans,3,832.05,5,2024-07-05,,Completed,2371.34
32262,16362,Amelia Davis,amelia.davis16362@example.com,66,Philadelphia,PA,Clothing,Hoodie,5,1249.61,20,2024-09-13,Apple Pay,Cancelled,4998.44
11966,3381,Sophia Martin,sophia.martin3381@example.com,66,San Antonio,TX,Books,SQL Handbook,4,1089.16,0,2026-06-01,Apple Pay,Completed,4356.64
39110,14059,Emma Martin,emma.martin14059@example.com,47,Miami,FL,Electronics,Laptop,4,982.48,10,2025-06-28,Debit Card,Completed,3536.93
49762,3551,Charles Garcia,charles.garcia3551@example.com,65,Houston,TX,Electronics,Headphones,3,1430.65,10,2024-11-05,Debit Card,Processing,3862.76
83695,17410,Harper Johnson,harper.johnson17410@example.com,21,Phoenix,AZ,Books,Python Basics,1,1213.13,10,2026-05-20,PayPal,Completed,1091.82
22175,10784,David Taylor,david.taylor10784@example.com,73,Seattle,WA,Clothing,Jeans,5,635.23,0,2026-03-06,Credit Card,Completed,3176.15
31767,15595,Isabella Anderson,isabella.anderson15595@example.com,19,Austin,TX,Clothing,Hoodie,4,1093.16,10,2026-05-06,Debit Card,Shipped,3935.38
94924,2424,Isabella Moore,isabella.moore2424@example.com,61,Austin,TX,Sports,Running Shoes,3,676.57,5,2025-09-25,PayPal,Completed,1928.22
11209,8419,Thomas Wilson,thomas.wilson8419@example.com,53,Houston,TX,Clothing,Hoodie,5,374.3,0,2024-10-29,Credit Card,Cancelled,1871.5
90223,1680,Daniel Rodriguez,daniel.rodriguez1680@example.com,48,Denver,CO,Books,Python Basics,4,345.95,10,2025-05-13,Apple Pay,Completed,1245.42
25445,3785,Harper Lee,harper.lee3785@example.com,75,Phoenix,AZ,Sports,Water Bottle,2,1464.6,0,2025-01-07,PayPal,Shipped,2929.2
65580,14230,David Davis,david.davis14230@example.com,61,Atlanta,GA,Books,Data Engineering 101,4,704.56,0,2025-11-12,Bank Transfer,Completed,2818.24
69590,7656,David Thomas,david.thomas7656@example.com,30,Denver,CO,Sports,Yoga Mat,4,608.46,10,2025-12-27,PayPal,Completed,2190.46
27176,13477,Sarah Jones,sarah.jones13477@example.com,54,New York,NY,Clothing,Hoodie,2,59.49,5,2024-07-28,Credit Card,Cancelled,113.03
61685,10942,Amelia Moore,amelia.moore10942@example.com,44,New York,NY,Sports,Tennis Racket,3,1188.9,0,2025-08-22,Bank Transfer,Completed,3566.7
24575,4831,James Moore,james.moore4831@example.com,57,Miami,FL,Books,Python Basics,4,636.81,15,2025-01-23,Credit Card,Completed,2165.15
38509,2596,Ava Wilson,ava.wilson2596@example.com,21,Phoenix,AZ,Sports,Running Shoes,1,1397.13,10,2026-04-07,Apple Pay,Completed,1257.42
50533,6363,Sophia Taylor,sophia.taylor6363@example.com,64,Los Angeles,CA,Books,Data Engineering 101,3,718.32,15,2024-07-22,PayPal,Returned,1831.72
76146,1609,Amelia Martinez,amelia.martinez1609@example.com,27,San Antonio,TX,Clothing,Hoodie,4,1369.17,20,2025-11-28,Debit Card,Processing,4381.34
72394,1342,Robert Wilson,robert.wilson1342@example.com,48,Los Angeles,CA,Clothing,T-Shirt,5,1396.05,5,2025-08-01,Apple Pay,Completed,6631.24
59005,9493,Daniel Martinez,daniel.martinez9493@example.com,67,San Diego,CA,Electronics,Smartphone,4,389.19,10,2024-08-12,Bank Transfer,Cancelled,1401.08
91944,11083,Thomas Wilson,thomas.wilson11083@example.com,26,Dallas,TX,Clothing,Jeans,2,1067.19,15,2026-06-18,PayPal,Cancelled,1814.22
